nounsAllCount,nounsAllIndex
"('아래', 283)","('아래', 690)"
"('부두', 282)","('부두', 691)"
"('구십일', 281)","('구십일', 692)"
"('친구', 281)","('친구', 693)"
"('쓰시', 281)","('쓰시', 694)"
"('알파벳', 281)","('알파벳', 695)"
"('다가', 280)","('다가', 696)"
"('이력', 279)","('이력', 697)"
"('공동', 279)","('공동', 698)"
"('원칙', 278)","('원칙', 699)"
"('세금', 278)","('세금', 700)"
"('이십구일', 277)","('이십구일', 701)"
"('오른쪽', 277)","('오른쪽', 702)"
"('대신', 277)","('대신', 703)"
"('에스케이', 276)","('에스케이', 704)"
"('이십삼일', 276)","('이십삼일', 705)"
"('이사', 275)","('이사', 706)"
"('이치', 274)","('이치', 707)"
"('경품', 274)","('경품', 708)"
"('정이', 273)","('정이', 709)"
"('얼마나', 273)","('얼마나', 710)"
"('에어', 273)","('에어', 711)"
"('통신사', 272)","('통신사', 712)"
"('패션', 271)","('패션', 713)"
"('일일이', 271)","('일일이', 714)"
"('사시', 271)","('사시', 715)"
"('담당', 270)","('담당', 716)"
"('스케줄', 269)","('스케줄', 717)"
"('칠월', 268)","('칠월', 718)"
"('육사', 268)","('육사', 719)"
"('하단', 267)","('하단', 720)"
"('계산', 266)","('계산', 721)"
