nounsAllCount,nounsAllIndex
{'하단': 267},{'하단': 723}
{'계산': 266},{'계산': 724}
{'설화수': 265},{'설화수': 725}
{'중인': 264},{'중인': 726}
{'서비스': 264},{'서비스': 727}
{'어머님': 264},{'어머님': 728}
{'두번째': 264},{'두번째': 729}
{'스페셜': 264},{'스페셜': 730}
{'가시': 263},{'가시': 731}
{'크림': 261},{'크림': 732}
{'유월': 261},{'유월': 733}
{'어어': 261},{'어어': 734}
{'옵션': 261},{'옵션': 735}
{'주말': 260},{'주말': 736}
{'신라': 260},{'신라': 737}
{'보이': 260},{'보이': 738}
{'브이아이': 260},{'브이아이': 739}
{'대한민국': 259},{'대한민국': 740}
{'입생로랑': 259},{'입생로랑': 741}
{'외국': 258},{'외국': 742}
{'오오': 257},{'오오': 743}
{'김은희': 256},{'김은희': 744}
{'심윤경': 255},{'심윤경': 745}
{'호텔': 255},{'호텔': 746}
{'마찬가지': 254},{'마찬가지': 747}
{'팔월': 253},{'팔월': 748}
{'웨딩': 253},{'웨딩': 749}
{'용이': 253},{'용이': 750}
{'개명': 252},{'개명': 751}
{'불량': 251},{'불량': 752}
{'연동': 251},{'연동': 753}
{'크게': 250},{'크게': 754}
{'영영': 250},{'영영': 755}
{'콜센터': 250},{'콜센터': 756}
{'이십팔일': 249},{'이십팔일': 757}
{'규정': 249},{'규정': 758}
{'일곱시': 248},{'일곱시': 759}
